Source;Target;Weight;In index
Komissarov Nikolaj Valerianovich;Leo Tolstoy;1;1
Nesmelova Rimma Valentinovna;Leo Tolstoy;1;1
Zor'jan Stefan Il'ich;Leo Tolstoy;1;1
Leo Tolstoy;Émile Zola;1;10
Arvid Järnefelt;Leo Tolstoy;1;10
Fedoseev Nikolaj Evgrafovich;Leo Tolstoy;1;1
Vereschagin Mihail Nikolaevich;Leo Tolstoy;1;10
Men'shov Vladimir Valentinovich;Leo Tolstoy;1;1
Lebedev Evgenij Alekseevich;Leo Tolstoy;1;1
Leo Tolstoy;Chernyshevskij Nikolaj Gavrilovich;1;10
Drezen Ernest Karlovich;Leo Tolstoy;1;1
Konchalovskij Andrej Sergeevich;Leo Tolstoy;1;1
Itskov Jurij Leonidovich;Leo Tolstoy;1;1
Gorin Bernard;Leo Tolstoy;1;1
Che Gevara Ernesto;Leo Tolstoy;1;1
Murav'ev-Apostol Matvej Ivanovich;Leo Tolstoy;1;10
Toropov Anatolij Mihajlovich;Leo Tolstoy;1;1
Gribkov Vladimir Vasil'evich;Leo Tolstoy;1;1
Repnaja Galina Evgen'evna;Leo Tolstoy;1;1
Akulova Irina Grigor'evna;Leo Tolstoy;1;1
Zhemchuzhnikov Aleksej Mihajlovich;Leo Tolstoy;1;10
Makkendless Kristofer;Leo Tolstoy;1;1
Efros Nikolaj Efimovich;Leo Tolstoy;1;10
Ajhenberg Frits;Leo Tolstoy;1;1
Vorms Al'fons Ernestovich;Leo Tolstoy;1;1
Tovstonogov Georgij Aleksandrovich;Leo Tolstoy;1;1
Protazanov Jakov Aleksandrovich;Leo Tolstoy;1;1
Gersht Meer Abramovich;Leo Tolstoy;1;1
Gassman Vittorio;Leo Tolstoy;1;1
Korsh Fedor Adamovich;Leo Tolstoy;1;10
Bine Iza;Leo Tolstoy;1;1
Rojzin Boris Pavlovich;Leo Tolstoy;1;1
Bogomolets Sofija Nikolaevna;Leo Tolstoy;1;10
Leo Tolstoy;Sjutaev Vasilij Kirillovich;1;10
Mario Camerini;Leo Tolstoy;1;1
Berrimor Dzhon;Leo Tolstoy;1;1
Titova Ljudmila Vladimirovna;Leo Tolstoy;1;1
Hohrjakov Viktor Ivanovich;Leo Tolstoy;1;1
Genkel' Vil'gel'm;Leo Tolstoy;1;1
