Source;Target;Weight;
Helena Petrovna Blavatsky;Tolstoy;3;
Tolstoy;Моцарт, Вольфганг Амадей;1;
Кутузов, Михаил Илларионович;Tolstoy;1;
Львов, Владимир Владимирович;Tolstoy;1;
Османлы, Исмаил Осман оглы;Tolstoy;1;
Гуляева, Нина Ивановна;Tolstoy;1;
Бер, Николай Николаевич;Tolstoy;1;
Голицын, Александр Николаевич;Tolstoy;1;
Финляндия, страна белых лилий;Tolstoy;1;
Blaise Pascal;Tolstoy;1;
Шулер, Евгений;Tolstoy;1;
Светловидов, Николай Афанасьевич;Tolstoy;1;
Бурмистрова, Наталья Михайловна;Tolstoy;1;
Варгин, Василий Васильевич;Tolstoy;1;
Tolstoy; Екатерина_II;1;
Tolstoy;Eliza Orzeszkowa;1;
Ступка, Богдан Сильвестрович;Tolstoy;1;
Сумская, Наталья Вячеславовна;Tolstoy;1;
Булгакова, Варвара Петровна;Tolstoy;1;
Шлёцер, Борис де;Tolstoy;1;
Волконский, Николай Сергеевич (генерал);Tolstoy;2;
Асташев, Николай Илларионович;Tolstoy;1;
Фигнер, Николай Николаевич;Tolstoy;1;
Покровский, Николай Александрович;Tolstoy;1;
Милютин, Иван Андреевич;Tolstoy;1;
Комиссаров, Николай Валерианович;Tolstoy;1;
Несмелова, Римма Валентиновна;Tolstoy;1;
Зорьян, Стефан Ильич;Tolstoy;1;
Tolstoy;Émile Zola;1;
Arvid Järnefelt;Tolstoy;1;
Федосеев, Николай Евграфович;Tolstoy;1;
Верещагин, Михаил Николаевич;Tolstoy;1;
Меньшов, Владимир Валентинович;Tolstoy;1;
Лебедев, Евгений Алексеевич;Tolstoy;1;
Tolstoy;Чернышевский, Николай Гаврилович;1;
Дрезен, Эрнест Карлович;Tolstoy;1;
Кончаловский, Андрей Сергеевич;Tolstoy;1;
Ицков, Юрий Леонидович;Tolstoy;1;
Горин, Бернард;Tolstoy;1;
Че Гевара, Эрнесто;Tolstoy;1;
Муравьёв-Апостол, Матвей Иванович;Tolstoy;1;
Торопов, Анатолий Михайлович;Tolstoy;1;
Грибков, Владимир Васильевич;Tolstoy;1;
Репная, Галина Евгеньевна;Tolstoy;1;
Акулова, Ирина Григорьевна;Tolstoy;1;
Жемчужников, Алексей Михайлович;Tolstoy;1;
Маккэндлесс, Кристофер;Tolstoy;1;
Эфрос, Николай Ефимович;Tolstoy;1;
Айхенберг, Фриц;Tolstoy;1;
Вормс, Альфонс Эрнестович;Tolstoy;1;
Товстоногов, Георгий Александрович;Tolstoy;1;
Протазанов, Яков Александрович;Tolstoy;1;
Гершт, Меер Абрамович;Tolstoy;1;
Гассман, Витторио;Tolstoy;1;
Корш, Фёдор Адамович;Tolstoy;1;
Бине, Иза;Tolstoy;1;
Ройзин, Борис Павлович;Tolstoy;1;
Богомолец, София Николаевна;Tolstoy;1;
Tolstoy;Сютаев, Василий Кириллович;1;
Mario Camerini;Tolstoy;1;
Берримор, Джон;Tolstoy;1;
Титова, Людмила Владимировна;Tolstoy;1;
Хохряков, Виктор Иванович;Tolstoy;1;
Генкель, Вильгельм;Tolstoy;1;
Давыдов, Денис Васильевич;Tolstoy;1;
Райс, Кондолиза;Tolstoy;1;
Родс, Сесиль Джон;Tolstoy;1;
Нагродская, Евдокия Аполлоновна;Tolstoy;1;
Tadeusz Łomnicki;Tolstoy;1;
Берс, Вячеслав Андреевич;Tolstoy;1;
Кукарников, Андрей Иванович;Tolstoy;1;
Марков, Леонид Васильевич;Tolstoy;1;
Верейский, Орест Георгиевич;Tolstoy;1;
Анисимова, Галина Александровна;Tolstoy;1;
Салтыкова, Екатерина Васильевна;Tolstoy;1;
Григорович, Дмитрий Васильевич;Tolstoy;1;
Mikhail Zharov;Tolstoy;1;
Роек, Констанция Францевна;Tolstoy;1;
Леонгард, Карл;Tolstoy;1;
Очиров, Бато-Далай;Tolstoy;1;
Баллу, Эдин;Tolstoy;1;
Поссе, Владимир Александрович;Tolstoy;1;
Лавров, Юрий Сергеевич;Tolstoy;1;
Толстой, Сергей Сергеевич;Tolstoy;1;
Савина, Мария Гавриловна;Tolstoy;1;
Антонов, Михаил Игнатьевич;Tolstoy;1;
Басилашвили, Олег Валерианович;Tolstoy;1;
Перпер, Иосиф Овшиевич;Tolstoy;1;
Фонвизина, Наталья Дмитриевна;Tolstoy;1;
Андрианов, Владимир Павлович;Tolstoy;1;
Толстой, Андрей Иванович;Tolstoy;1;
Мосолова, Лидия Владимировна;Tolstoy;1;
Исакова, Людмила Ивановна;Tolstoy;1;
Волкенштейн, Людмила Александровна;Tolstoy;1;
Tolstoy;Гладков, Александр Константинович;1;
Tolstoy;Nikolai Alekseevich Nekrasov;1;
Фикельмон, Дарья Фёдоровна;Tolstoy;1;
Киреевский, Николай Васильевич;Tolstoy;1;
Петрова, Нина Петровна;Tolstoy;1;
Кищенков, Иван Михайлович;Tolstoy;1;
Вершинин, Александр Владимирович;Tolstoy;1;
Штиль, Георгий Антонович;Tolstoy;1;
Ivan Alekseyevich Bunin;Tolstoy;1;
Жилин, Алексей Дмитриевич;Tolstoy;1;
Нежный, Александр Иосифович;Tolstoy;1;
Tolstoy;Григорович, Дмитрий Васильевич;1;
Фадеева, Елена Алексеевна;Tolstoy;1;
Inayat Khan;Tolstoy;1;
Лачинов, Николай Александрович;Tolstoy;1;
Благодёр, Иван Иванович;Tolstoy;1;
Ефремов, Олег Николаевич;Tolstoy;1;
Папазян, Ваграм Камерович;Tolstoy;1;
Матвеев, Михаил Николаевич;Tolstoy;1;
Страхов, Адольф Иосифович;Tolstoy;1;
Годдард, Джон;Tolstoy;1;
Tolstoy;Стахович, Михаил Александрович (политик);1;
Tolstoy;Мейерхольд, Всеволод Эмильевич;1;
Здзеховский, Мариан;Tolstoy;1;
Меньшиков, Михаил Осипович;Tolstoy;1;
Байжанов, Жаяу Муса;Tolstoy;1;
Маклаков, Василий Алексеевич;Tolstoy;1;
Савельев, Владимир Дмитриевич;Tolstoy;1;
Rudolf Kassner;Tolstoy;1;
Nikolai Alekseevich Nekrasov;Tolstoy;1;
Tolstoy;Маковицкий, Душан Петрович;1;
René Doumic;Tolstoy;1;
Alexandr Ostrovsky;Tolstoy;1;
Головачёв, Аполлон Филиппович;Tolstoy;1;
Голиков, Вадим Сергеевич;Tolstoy;1;
Дворжецкий, Вацлав Янович;Tolstoy;2;
Горбунов, Андрей Николаевич;Tolstoy;1;
Горбатов, Борис Фёдорович;Tolstoy;1;
Маккавейский, Николай Корнильевич;Tolstoy;1;
Tolstoy;Танеев, Сергей Иванович;1;
Львов, Алексей Евгеньевич;Tolstoy;1;
Аксельрод, Любовь Исааковна;Tolstoy;1;
Шевченко, Фаина Васильевна;Tolstoy;1;
Притча о работнике, пришедшем с поля;Tolstoy;1;
Потапенко, Игнатий Николаевич;Tolstoy;1;
Романов, Михаил Фёдорович (актёр);Tolstoy;1;
Аннинский, Лев Александрович;Tolstoy;2;
Богданович, Алексей Владимирович;Tolstoy;1;
Толстая, Татьяна Владимировна;Tolstoy;1;
Демидова, Алла Сергеевна;Tolstoy;1;
Бичевин, Леонид Александрович;Tolstoy;1;
Горчаков, Александр Михайлович;Tolstoy;1;
Толстой, Илья Андреевич;Tolstoy;1;
Tolstoy;Блок, Александр Александрович;1;
Писемский, Алексей Феофилактович;Tolstoy;1;
Хохлов, Константин Павлович;Tolstoy;1;
Васильев, Александр (журналист);Tolstoy;1;
Мак, Карл;Tolstoy;1;
Чижевский, Александр Леонидович;Tolstoy;1;
Хаас, Долли;Tolstoy;1;
Липкан, Александр Михайлович;Tolstoy;1;
Tolstoy;Ломунов, Константин Николаевич;1;
Радин, Николай Мариусович;Tolstoy;1;
Толстой, Лев Львович;Tolstoy;1;
C P Snow;Tolstoy;1;
Гжегожевский, Ежи;Tolstoy;1;
Рассказов, Александр Андреевич;Tolstoy;1;
